iteration,time_iter,time_primal_forward,time_primal_backward,time_dual_forward,time_dual_backward,time_pruning
1,2.5053870677948,2.0187489986419678,0.28931689262390137,0.0,0.1688520908355713,0.0
2,0.14409184455871582,0.13338303565979004,0.0024919509887695312,0.0,0.007596015930175781,0.0
3,0.0753319263458252,0.04192304611206055,0.022375106811523438,0.0,0.010290145874023438,0.0
4,0.05506277084350586,0.01966404914855957,0.003606081008911133,0.0,0.031083106994628906,0.0
5,0.08239603042602539,0.020086050033569336,0.02206707000732422,0.0,0.03959822654724121,0.0
6,0.02970099449157715,0.01909184455871582,0.0028998851776123047,0.0,0.007172822952270508,0.0
7,0.03062605857849121,0.02015399932861328,0.003742218017578125,0.0,0.006132841110229492,0.0
8,0.028712987899780273,0.018214941024780273,0.003805875778198242,0.0,0.005792140960693359,0.0
9,0.029068946838378906,0.019428014755249023,0.0029058456420898438,0.0,0.0058650970458984375,0.0
10,0.21434497833251953,0.021820783615112305,0.0027768611907958984,0.0,0.0052089691162109375,0.0
11,0.048989057540893555,0.031087875366210938,0.005916118621826172,0.0,0.010786056518554688,0.0
12,0.06014609336853027,0.05064892768859863,0.003777027130126953,0.0,0.005085945129394531,0.0
13,0.02845621109008789,0.01948690414428711,0.0037670135498046875,0.0,0.004601001739501953,0.0
14,0.028666973114013672,0.020344972610473633,0.003412008285522461,0.0,0.004347801208496094,0.0
15,0.03162813186645508,0.020926952362060547,0.0031468868255615234,0.0,0.0069179534912109375,0.0
16,0.03014993667602539,0.019601106643676758,0.0028820037841796875,0.0,0.0069620609283447266,0.0
17,0.029747962951660156,0.02036309242248535,0.00269317626953125,0.0,0.006145000457763672,0.0
18,0.03216218948364258,0.021093130111694336,0.0039098262786865234,0.0,0.0064089298248291016,0.0
19,0.0333859920501709,0.02198004722595215,0.0028121471405029297,0.0,0.007787942886352539,0.0
20,0.03679704666137695,0.02102184295654297,0.003170013427734375,0.00789499282836914,0.003980875015258789,0.0
21,0.0597529411315918,0.03325510025024414,0.00577998161315918,0.0,0.019382953643798828,0.0
22,0.0333099365234375,0.022042036056518555,0.002718210220336914,0.0,0.007910013198852539,0.0
23,0.03316497802734375,0.020766019821166992,0.0036478042602539062,0.0,0.007782936096191406,0.0
24,0.030251026153564453,0.020961999893188477,0.002828836441040039,0.0,0.005823850631713867,0.0
25,0.03068995475769043,0.022465944290161133,0.003841876983642578,0.0,0.0037529468536376953,0.0
26,0.0306699275970459,0.02119588851928711,0.0037810802459716797,0.0,0.0047550201416015625,0.0
27,0.03265094757080078,0.022193193435668945,0.002886056900024414,0.0,0.006838083267211914,0.0
28,0.03393197059631348,0.021506071090698242,0.003972053527832031,0.0,0.00716400146484375,0.0
29,0.03178596496582031,0.022101163864135742,0.0028829574584960938,0.0,0.006078958511352539,0.0
30,0.033412933349609375,0.022133827209472656,0.003981113433837891,0.0,0.006126880645751953,0.0
31,0.05265617370605469,0.03461790084838867,0.00527191162109375,0.0,0.01180887222290039,0.0
32,0.036026954650878906,0.025233983993530273,0.0028960704803466797,0.0,0.007135868072509766,0.0
33,0.047341108322143555,0.03787994384765625,0.002978086471557617,0.0,0.005713939666748047,0.0
34,0.03360295295715332,0.022593021392822266,0.0036530494689941406,0.0,0.0065538883209228516,0.0
35,0.034519195556640625,0.022583961486816406,0.0030128955841064453,0.0,0.007929086685180664,0.0
36,0.03547310829162598,0.024823904037475586,0.0028710365295410156,0.0,0.007102012634277344,0.0
37,0.03403210639953613,0.023768186569213867,0.0033800601959228516,0.0,0.005785942077636719,0.0
38,0.031336069107055664,0.02231907844543457,0.003049135208129883,0.0,0.005234956741333008,0.0
39,0.032971858978271484,0.02302408218383789,0.003603219985961914,0.0,0.005259990692138672,0.0
40,0.06428885459899902,0.038951873779296875,0.0029129981994628906,0.014709949493408203,0.006905078887939453,0.0
41,0.0751638412475586,0.04067707061767578,0.006834983825683594,0.0,0.02686595916748047,0.0
42,0.035405874252319336,0.025730133056640625,0.0029010772705078125,0.0,0.005680084228515625,0.0
43,0.0334620475769043,0.023920059204101562,0.004256010055541992,0.0,0.0044100284576416016,0.0
44,0.036607980728149414,0.024396181106567383,0.002835988998413086,0.0,0.008502006530761719,0.0
45,0.03457283973693848,0.024106979370117188,0.002981901168823242,0.0,0.006682157516479492,0.0
46,0.04878497123718262,0.03978919982910156,0.003326892852783203,0.0,0.004948854446411133,0.0
47,0.03747296333312988,0.026739120483398438,0.0028121471405029297,0.0,0.00704503059387207,0.0
48,0.037744998931884766,0.02698493003845215,0.003175973892211914,0.0,0.006798982620239258,0.0
49,0.05083203315734863,0.032670021057128906,0.0052449703216552734,0.0,0.01160883903503418,0.0
50,0.04260396957397461,0.033043861389160156,0.0031168460845947266,0.0,0.005403041839599609,0.0
51,0.05794882774353027,0.04711604118347168,0.0046269893646240234,0.0,0.0053958892822265625,0.0
52,0.052229881286621094,0.03577613830566406,0.004262208938598633,0.0,0.010772943496704102,0.0
53,0.040593862533569336,0.028849124908447266,0.003606081008911133,0.0,0.00730586051940918,0.0
54,0.037420034408569336,0.02382183074951172,0.0031599998474121094,0.0,0.009301900863647461,0.0
55,0.03455805778503418,0.02480483055114746,0.003220796585083008,0.0,0.0057430267333984375,0.0
56,0.033225059509277344,0.024923086166381836,0.002956867218017578,0.0,0.004511833190917969,0.0
57,0.04806399345397949,0.03846383094787598,0.0032880306243896484,0.0,0.005513906478881836,0.0
58,0.04078793525695801,0.030647993087768555,0.003144979476928711,0.0,0.006112813949584961,0.0
59,0.03625202178955078,0.025450944900512695,0.0036110877990722656,0.0,0.006285905838012695,0.0
60,0.052722930908203125,0.025176048278808594,0.0030760765075683594,0.018121004104614258,0.005266904830932617,0.0
61,0.0682520866394043,0.03584885597229004,0.005326986312866211,0.0,0.026137828826904297,0.0
62,0.03632497787475586,0.027328968048095703,0.003033876419067383,0.0,0.005064964294433594,0.0
63,0.03777194023132324,0.02766895294189453,0.0030798912048339844,0.0,0.006156206130981445,0.0
64,0.039756059646606445,0.02837395668029785,0.003186941146850586,0.0,0.007354021072387695,0.0
65,0.03758692741394043,0.026877164840698242,0.003301858901977539,0.0,0.006478071212768555,0.0
66,0.037238121032714844,0.025435924530029297,0.0034780502319335938,0.0,0.007464885711669922,0.0
67,0.037014007568359375,0.026073932647705078,0.0031671524047851562,0.0,0.006801128387451172,0.0
68,0.050074100494384766,0.04024696350097656,0.0031499862670898438,0.0,0.005750894546508789,0.0
69,0.038786888122558594,0.027515172958374023,0.0031499862670898438,0.0,0.007061004638671875,0.0
70,0.03650808334350586,0.027692079544067383,0.0033371448516845703,0.0,0.004449129104614258,0.0
71,0.05851483345031738,0.04444003105163574,0.005944967269897461,0.0,0.006986141204833984,0.0
72,0.037509918212890625,0.029520034790039062,0.003144979476928711,0.0,0.003954887390136719,0.0
73,0.054100990295410156,0.041346073150634766,0.0033829212188720703,0.0,0.008363008499145508,0.0
74,0.03814101219177246,0.02802109718322754,0.0034558773040771484,0.0,0.00577092170715332,0.0
75,0.041712045669555664,0.030910968780517578,0.003645181655883789,0.0,0.006294965744018555,0.0
